Date,Price,Open,High,Low,Vol.,Change %
270,2011-03-08,"26,796.00","26,796.00","26,796.00","26,796.00",-,-2.37%
271,2011-03-09,"26,122.00","26,122.00","26,122.00","26,122.00",-,-2.52%
272,2011-03-10,"26,022.00","26,022.00","26,022.00","26,022.00",-,-0.38%
273,2011-03-11,"25,924.00","25,924.00","25,924.00","25,924.00",-,-0.38%
274,2011-03-14,"25,800.00","25,800.00","25,800.00","25,800.00",-,-0.48%
275,2011-03-17,"25,939.00","25,939.00","25,939.00","25,939.00",-,0.54%
276,2011-03-18,"26,764.00","26,764.00","26,764.00","26,764.00",-,3.18%
277,2011-03-21,"26,756.00","26,756.00","26,756.00","26,756.00",-,-0.03%
278,2011-03-22,"26,355.00","26,355.00","26,355.00","26,355.00",-,-1.50%
279,2011-03-23,"26,830.00","26,830.00","26,830.00","26,830.00",-,1.80%
280,2011-03-24,"27,204.00","27,204.00","27,204.00","27,204.00",-,1.39%
281,2011-03-25,"27,055.00","27,055.00","27,055.00","27,055.00",-,-0.55%
282,2011-03-28,"26,219.00","26,219.00","26,219.00","26,219.00",-,-3.09%
283,2011-03-29,"26,595.00","26,595.00","26,595.00","26,595.00",-,1.43%
284,2011-03-30,"26,021.00","26,021.00","26,021.00","26,021.00",-,-2.16%
285,2011-03-31,"26,086.00","26,086.00","26,086.00","26,086.00",-,0.25%
286,2011-04-01,"25,586.00","25,586.00","25,586.00","25,586.00",-,-1.92%
287,2011-04-04,"25,486.00","25,486.00","25,486.00","25,486.00",-,-0.39%
288,2011-04-05,"25,391.00","25,391.00","25,391.00","25,391.00",-,-0.37%
289,2011-04-06,"26,440.00","26,440.00","26,440.00","26,440.00",-,4.13%
290,2011-04-07,"26,807.00","26,807.00","26,807.00","26,807.00",-,1.39%
291,2011-04-08,"27,600.00","27,600.00","27,600.00","27,600.00",-,2.96%
292,2011-04-11,"27,705.00","27,705.00","27,705.00","27,705.00",-,0.38%
293,2011-04-12,"26,690.00","26,690.00","26,690.00","26,690.00",-,-3.66%
294,2011-04-13,"26,255.00","26,255.00","26,255.00","26,255.00",-,-1.63%
295,2011-04-14,"25,800.00","25,800.00","25,800.00","25,800.00",-,-1.73%
296,2011-04-15,"26,155.00","26,155.00","26,155.00","26,155.00",-,1.38%
297,2011-04-18,"25,505.00","25,505.00","25,505.00","25,505.00",-,-2.49%
298,2011-04-21,"26,885.00","26,885.00","26,885.00","26,885.00",-,5.41%
299,2011-04-26,"26,638.00","26,638.00","26,638.00","26,638.00",-,-0.92%
300,2011-04-27,"26,618.00","26,618.00","26,618.00","26,618.00",-,-0.08%
301,2011-04-28,"26,844.00","26,844.00","26,844.00","26,844.00",-,0.85%
302,2011-05-03,"27,295.00","27,295.00","27,295.00","27,295.00",-,1.68%
303,2011-05-04,"25,814.00","25,814.00","25,814.00","25,814.00",-,-5.43%
304,2011-05-05,"24,513.00","24,513.00","24,513.00","24,513.00",-,-5.04%
305,2011-05-06,"24,593.00","24,593.00","24,593.00","24,593.00",-,0.33%
306,2011-05-09,"24,363.00","24,363.00","24,363.00","24,363.00",-,-0.94%
307,2011-05-10,"24,848.00","24,848.00","24,848.00","24,848.00",-,1.99%
308,2011-05-11,"24,549.00","24,549.00","24,549.00","24,549.00",-,-1.20%
309,2011-05-12,"24,549.00","24,549.00","24,549.00","24,549.00",-,0.00%
310,2011-05-13,"24,398.00","24,398.00","24,398.00","24,398.00",-,-0.62%
311,2011-05-16,"24,356.00","24,356.00","24,356.00","24,356.00",-,-0.17%
312,2011-05-19,"23,550.00","23,550.00","23,550.00","23,550.00",-,-3.31%
313,2011-05-20,"23,533.00","23,533.00","23,533.00","23,533.00",-,-0.07%
314,2011-05-23,"22,384.00","22,384.00","22,384.00","22,384.00",-,-4.88%
315,2011-05-24,"22,889.00","22,889.00","22,889.00","22,889.00",-,2.26%
316,2011-05-25,"23,401.00","23,401.00","23,401.00","23,401.00",-,2.24%
317,2011-05-26,"22,821.00","22,821.00","22,821.00","22,821.00",-,-2.48%
318,2011-05-27,"23,082.00","23,082.00","23,082.00","23,082.00",-,1.14%
319,2011-05-31,"23,588.00","23,588.00","23,588.00","23,588.00",-,2.19%
320,2011-06-01,"23,242.00","23,242.00","23,242.00","23,242.00",-,-1.47%
321,2011-06-02,"22,564.00","22,564.00","22,564.00","22,564.00",-,-2.92%
322,2011-06-03,"22,787.00","22,787.00","22,787.00","22,787.00",-,0.99%
323,2011-06-06,"22,616.00","22,616.00","22,616.00","22,616.00",-,-0.75%
324,2011-06-07,"22,606.00","22,606.00","22,606.00","22,606.00",-,-0.04%
325,2011-06-08,"22,686.00","22,686.00","22,686.00","22,686.00",-,0.35%
326,2011-06-09,"23,176.00","23,176.00","23,176.00","23,176.00",-,2.16%
327,2011-06-10,"22,821.00","22,821.00","22,821.00","22,821.00",-,-1.53%
328,2011-06-13,"22,244.00","22,244.00","22,244.00","22,244.00",-,-2.53%
329,2011-06-16,"21,580.00","21,580.00","21,580.00","21,580.00",-,-2.99%
330,2011-06-17,"21,605.00","21,605.00","21,605.00","21,605.00",-,0.12%
331,2011-06-20,"21,629.00","21,629.00","21,629.00","21,629.00",-,0.11%
332,2011-06-21,"21,862.00","21,862.00","21,862.00","21,862.00",-,1.08%
